review,summary,rating,sentiment,cleaned_review
Great price and style.  Saw glasses in retail store and the price was double.  Got 2 for the price of one.,Two for the price of one,5.0,positive,great price and style saw glasses in retail store and the price was double got for the price of one
Fits great comfortable good quality,Great Fit,5.0,positive,fits great comfortable good quality
"this one turns out to be perfect for my purpose.  i got it for my mom who is 80 and goes on senior trip.  water bottle area is nicely design, easy to put in and take out the water bottle.  the small zipper area is nice to put IDs.  the best is the strings, very thick which removes the weight when carrying it over shoulders.  my mom loves it.  i hope it iwll have more fun design for seniors.  flowers, geometric shape, anything to make it fun for seniors to wear.",city bag,5.0,positive,this one turns out to be perfect for my purpose i got it for my mom who is and goes on senior trip water bottle area is nicely design easy to put in and take out the water bottle the small zipper area is nice to put ids the best is the strings very thick which removes the weight when carrying it over shoulders my mom loves it i hope it iwll have more fun design for seniors flowers geometric shape anything to make it fun for seniors to wear
This fits really odd.  Very tight on the arms but way too long.  Does not fit at like picture.  I ordered a M as per reviews and normally wear an XS or S.  There is no way this would fit.  Because of price being so minimal I will not send back.  Another item for Goodwill.  Seems like a great way for this company to make money.,Don't waste your money or time,1.0,negative,this fits really odd very tight on the arms but way too long does not fit at like picture i ordered a m as per reviews and normally wear an xs or s there is no way this would fit because of price being so minimal i will not send back another item for goodwill seems like a great way for this company to make money
Levi's are a staple with my son. He has issues with weight due to being a cancer survivor so I am glad that Levi makesHusky sizes. I kind of wish they would make some jeans with lycra in them that are for boys/men.,Can't go wrong,5.0,positive,levis are a staple with my son he has issues with weight due to being a cancer survivor so i am glad that levi makeshusky sizes i kind of wish they would make some jeans with lycra in them that are for boysmen
"The pins work great. Ordered them since theHadley-Roma Men's MSM906RA-220 22-mm Black Genuine Leather Watch Strapdidn't come with pins.I replaced my broken Casio Data Bank 150 straps, and the newer Amazon pins were much easier to handle than Casio's. Let's see how they hold up over time!",So far so good.,5.0,positive,the pins work great ordered them since thehadleyroma mens msmra mm black genuine leather watch strapdidnt come with pinsi replaced my broken casio data bank straps and the newer amazon pins were much easier to handle than casios lets see how they hold up over time
"My feet are slightly narrow but not enough to go with special narrow sizes. Clarks are often a little wide on me, but these fit snugly across the top without being too tight. I love how it is adjustable across the middle, as well. I wear size 6 to 5.5, and the 5.5 fit well - slightly snug but likely to stretch a little like all shoes. Very comfortable to wear walking all day, but still stylish that I've received complements. If your feet run a little wide, these might be too narrow for you...",comfortable but still stylish,5.0,positive,my feet are slightly narrow but not enough to go with special narrow sizes clarks are often a little wide on me but these fit snugly across the top without being too tight i love how it is adjustable across the middle as well i wear size to and the fit well slightly snug but likely to stretch a little like all shoes very comfortable to wear walking all day but still stylish that ive received complements if your feet run a little wide these might be too narrow for you
"Lovely Bra, very pretty, cups are kinda hard, but not something unusual for this type of bra, they soften after washes. Found it to be a bit snug for 34D, but is ok, I know sizes vary and is hard when you shop online for Bra's. I like it, I would suggest maybe bumping your size up to a 36 if you are a 34 for example. But comfy and very form fitting and adds a nice lift as well without the uncomfortable feeling of a push up bra.","Very nice, and soft!",4.0,positive,lovely bra very pretty cups are kinda hard but not something unusual for this type of bra they soften after washes found it to be a bit snug for d but is ok i know sizes vary and is hard when you shop online for bras i like it i would suggest maybe bumping your size up to a if you are a for example but comfy and very form fitting and adds a nice lift as well without the uncomfortable feeling of a push up bra
"These are an amazing shoe! I tried them on, and before I even stood on my feet, I could feel the extraordinary comfort. Merrell is as always a great product. Shoes are true to size and feel like heaven on your feet.Update: I've been wearing these a while now and they are not very comfortable at all. After my daily 5 mile walks, actually, within the first mile, the soles of my feet are hurting pretty badly. It is very specific to the balls of the toes and the heel. The pain is intense. I thought I would continue to use them, as they may have needed some breaking in, but that was not the case. I had to run a little in them because I had to hurry about something. I only ran a short distance, less than a mile, and my toes were bruised by the hard plastic.In short: I do not recommmend these at all. I love Merrells but these are not their best shoes.",Retraction of: Amazong Shoe. It's not!,2.0,negative,these are an amazing shoe i tried them on and before i even stood on my feet i could feel the extraordinary comfort merrell is as always a great product shoes are true to size and feel like heaven on your feetupdate ive been wearing these a while now and they are not very comfortable at all after my daily mile walks actually within the first mile the soles of my feet are hurting pretty badly it is very specific to the balls of the toes and the heel the pain is intense i thought i would continue to use them as they may have needed some breaking in but that was not the case i had to run a little in them because i had to hurry about something i only ran a short distance less than a mile and my toes were bruised by the hard plasticin short i do not recommmend these at all i love merrells but these are not their best shoes
"I got these for my girl and she will fit into them in a few months. After she wares them I will know more. For now, they look and feel great! pediped are great shoes.",Love the look!,5.0,positive,i got these for my girl and she will fit into them in a few months after she wares them i will know more for now they look and feel great pediped are great shoes
"9XIS Womens Boyfriend Blazer,Jade,SmallI am a very small person, I am only 5'2 and 120lbs, a size small was just a little bit large on me.I love the jacket however, great colors and good price, shipped quickly!","9XIS Womens Boyfriend Blazer,Jade,Small",4.0,positive,xis womens boyfriend blazerjadesmalli am a very small person i am only and lbs a size small was just a little bit large on mei love the jacket however great colors and good price shipped quickly
I love my ring and the infinity meaning i ould get another one and recommend this seller to other ppl.  I did get it very fast too,Love it,5.0,positive,i love my ring and the infinity meaning i ould get another one and recommend this seller to other ppl i did get it very fast too
"Great price for great rings.  Fast shipping.  I am allergic to lots of different kinds of metal, and I have this as my wedding band with no allergy at all.  Definitely a great choice.",these rings are perfect,5.0,positive,great price for great rings fast shipping i am allergic to lots of different kinds of metal and i have this as my wedding band with no allergy at all definitely a great choice
One of my favorite things I love is grading lies. When I saw it on the amazon I decided to order it. I truly love it and would recommend it. It works and it is gorgeous.,Beautiful,5.0,positive,one of my favorite things i love is grading lies when i saw it on the amazon i decided to order it i truly love it and would recommend it it works and it is gorgeous
"We live in an area that doesn't actually get very much rain, but we had a couple of rainy days after Christmas, so my daughter, of course wanted to wear these boots. She loved them! they are a bit big on her (but despite large feet, she's otherwise small for her size. These worked great. I don't know that I'd want her to wear these on a daily basis if we were getting that much rain because the opening around the leg is rather wide, but for low to moderate amounts of rain, these are great.She's had them for less than a week, but she might never get a chance to wear them in actual rain again. She does, however, want to keep wearing them.The boots came very nicely boxed in a box that my daughter has already converted to other uses (it's got a cute Hello Kitty design on it). I've seen other reviews of the Western Chief boots complain of a smell, but these had nothing out of the ordinary to them, and certainly nothing that would prevent me from buying them again.",Adorable,5.0,positive,we live in an area that doesnt actually get very much rain but we had a couple of rainy days after christmas so my daughter of course wanted to wear these boots she loved them they are a bit big on her but despite large feet shes otherwise small for her size these worked great i dont know that id want her to wear these on a daily basis if we were getting that much rain because the opening around the leg is rather wide but for low to moderate amounts of rain these are greatshes had them for less than a week but she might never get a chance to wear them in actual rain again she does however want to keep wearing themthe boots came very nicely boxed in a box that my daughter has already converted to other uses its got a cute hello kitty design on it ive seen other reviews of the western chief boots complain of a smell but these had nothing out of the ordinary to them and certainly nothing that would prevent me from buying them again
This hat is great. It's super warma and fits comfortably snug. I love it! I will admit I was kind of concerned about the authenticity of the brand due to some issues with another item I ordered from Amazon however you can tell it's a high quality item as soon as you open it.,Great hat,5.0,positive,this hat is great its super warma and fits comfortably snug i love it i will admit i was kind of concerned about the authenticity of the brand due to some issues with another item i ordered from amazon however you can tell its a high quality item as soon as you open it
"These earrings are just what I was looking for.  I am allergic to some gold, especially white gold, but I have been wearing these almost every day, and I have had no problem.  They are small, just the size I was looking for.  They are also sturdy.  The clasp is strong, and I don't worry about losing them when I wear them.  Thanks for the great product!",Very nice and well made,5.0,positive,these earrings are just what i was looking for i am allergic to some gold especially white gold but i have been wearing these almost every day and i have had no problem they are small just the size i was looking for they are also sturdy the clasp is strong and i dont worry about losing them when i wear them thanks for the great product
"The one-size-fits-all labeling is deceptive.  One-size-fits-all small children, perhaps...if you were thinking of this as a distinctive topper for yourself or as a goofy gift for an adult friend, forget it unless he/ she is a pinhead..  Also not too fond of the fact that it not only is made outside of the USA, it is mailed from there, also.  Took way too long and arrived after the event at which I wanted to present it.  Order with great caution.",Pin-head city,2.0,negative,the onesizefitsall labeling is deceptive onesizefitsall small children perhapsif you were thinking of this as a distinctive topper for yourself or as a goofy gift for an adult friend forget it unless he she is a pinhead also not too fond of the fact that it not only is made outside of the usa it is mailed from there also took way too long and arrived after the event at which i wanted to present it order with great caution
I liked these shoes but they just felt a little snug in the width. I had to return them. I could've exchanged this for a larger size but I bought these with another pair of shoes (Skechers Go Walk 2-Stance) and the Skechers were more comfy.,Felt Kind Of Snug,4.0,positive,i liked these shoes but they just felt a little snug in the width i had to return them i couldve exchanged this for a larger size but i bought these with another pair of shoes skechers go walk stance and the skechers were more comfy
"Definitely looks fake/plastic like, only for use as a costume wig, price is cheap. Wig tangles easily and it fits funny, bangs are out of control. I wore it on cam once and customers said it looked good, but in person it doesnt",Looks funny,2.0,negative,definitely looks fakeplastic like only for use as a costume wig price is cheap wig tangles easily and it fits funny bangs are out of control i wore it on cam once and customers said it looked good but in person it doesnt
"I have purchased these before. They are really good quality scrub pants. I'm not a nurse or a CNA, but I like to be comfortable and these pants are so soft and available in great colors.",Fabulous,5.0,positive,i have purchased these before they are really good quality scrub pants im not a nurse or a cna but i like to be comfortable and these pants are so soft and available in great colors
"The purse/handbag was the ideal compliment to the dress I wore for my son's wedding.  It was perfectly sized...I had a phone, lipstick, kleenex pack, and a spare battery for my camera...all fit nicely.  My camera is bigger than a point and shoot, but I think a small credit card sized camera would fit as well.The handy little purse came with two chains...one for hand carry and one for over the shoulder.  Overall, the perfect accessory.",Perfect little purse for evening or other formal occassion,5.0,positive,the pursehandbag was the ideal compliment to the dress i wore for my sons wedding it was perfectly sizedi had a phone lipstick kleenex pack and a spare battery for my cameraall fit nicely my camera is bigger than a point and shoot but i think a small credit card sized camera would fit as wellthe handy little purse came with two chainsone for hand carry and one for over the shoulder overall the perfect accessory
"I treated myself to a pair of &#34;real&#34; UGGs this time around. There's no question the boots are well made, and it's nice to have that recognized brand on the back of the boot, but I'm having trouble justifying the additional $$ for the brand. I ordered a size up to accommodate for the fluffy fit in the boot, and that was a good choice. I'm finding the upper part of the boot fits a little more snug that previous boots I've purchased. It's not too small, just tighter, so be aware of that, especially if you don't have pencil-thin legs. These are very nice boots, definitely far above the bargain options you'll find at your local big box stores, but they are quite pricey compared to some good quality alternatives that are mid-priced. Love the boot, don't love the price.","Nice Boot, but Pricey",4.0,positive,i treated myself to a pair of real uggs this time around theres no question the boots are well made and its nice to have that recognized brand on the back of the boot but im having trouble justifying the additional for the brand i ordered a size up to accommodate for the fluffy fit in the boot and that was a good choice im finding the upper part of the boot fits a little more snug that previous boots ive purchased its not too small just tighter so be aware of that especially if you dont have pencilthin legs these are very nice boots definitely far above the bargain options youll find at your local big box stores but they are quite pricey compared to some good quality alternatives that are midpriced love the boot dont love the price
"A waste, it fell off and I lost it within an hour",a waste,1.0,negative,a waste it fell off and i lost it within an hour
"These are as good, if not a hell of a lot better than the ones that Harley Davidson sells. Great value.",SUNGLASSES,5.0,positive,these are as good if not a hell of a lot better than the ones that harley davidson sells great value
when I received this bead I was very impressed. I put it on my new bracelet right away. My husband loved it.. I got this bead for Mothers Day... I will definetly buy more ..,bling vintage style victorian sterling silver heart bead,5.0,positive,when i received this bead i was very impressed i put it on my new bracelet right away my husband loved it i got this bead for mothers day i will definetly buy more
"These ""shorts"" are the first shorts I have worn in many years.. They fit, look good, and are just the ""best""!Oh my.. I am ""sold"" on CARHARTT..",Oh My..,5.0,positive,these shorts are the first shorts i have worn in many years they fit look good and are just the bestoh my i am sold on carhartt
"These earrings were purchased as a memorial to my 17 year companion, my friend my cat.The teardrops symbolize my sadness and the tiny pressed flowers symbolize the beauty of my loving companion.",Teardrops...delicate  beautiful,5.0,positive,these earrings were purchased as a memorial to my year companion my friend my catthe teardrops symbolize my sadness and the tiny pressed flowers symbolize the beauty of my loving companion
These are cute peeking out of booties and fit as expected.  I've purchased gold toe in the past and have never been disappointed.,I needed new socks.,5.0,positive,these are cute peeking out of booties and fit as expected ive purchased gold toe in the past and have never been disappointed
So surprised all I ever buy is nike flops these are so uncomfortable and fit horribly. ..wasted alot of money ..not happy w purchase at all!!!,fit horribly,1.0,negative,so surprised all i ever buy is nike flops these are so uncomfortable and fit horribly wasted alot of money not happy w purchase at all
"Bought these pants because these looked like &#34;professional&#34; khakis - nice enough to wear in the executive office of my company. So I wasn't thrilled to see that these are more like slacks dressed down to look like khakis, vs. khakis dressed up to look like slacks. I also expected that, since this is a Lee product, the fabric to be heavier. Not the case. These would be appropriate for summer but it ain't summer (yet). Not sure if I'm keeping them because the fabric isn't as heavy as I thought.","Khaki color? Yes, Khaki? No",3.0,neutral,bought these pants because these looked like professional khakis nice enough to wear in the executive office of my company so i wasnt thrilled to see that these are more like slacks dressed down to look like khakis vs khakis dressed up to look like slacks i also expected that since this is a lee product the fabric to be heavier not the case these would be appropriate for summer but it aint summer yet not sure if im keeping them because the fabric isnt as heavy as i thought
"I've been buying these jeans for several years now. While I agree they are not a very heavy denim, the price is right. I use these as work jeans and compared to a brand like Carhartt, they are 1/3 the price. Some may say they are 1/3 the quality as well. I wear them out pretty quickly and don't feel bad about tossing them in a month or so when they get stained or torn. I don't feel as good about tossing a pair of thirty dollar jeans when they get stained. I buy these at WalMart and pay between fourteen & seventeen dollars. I recall one time last year WalMart had then for nine ninety nine. The price here is way too high.",Wrangler Jeans,3.0,neutral,ive been buying these jeans for several years now while i agree they are not a very heavy denim the price is right i use these as work jeans and compared to a brand like carhartt they are the price some may say they are the quality as well i wear them out pretty quickly and dont feel bad about tossing them in a month or so when they get stained or torn i dont feel as good about tossing a pair of thirty dollar jeans when they get stained i buy these at walmart and pay between fourteen seventeen dollars i recall one time last year walmart had then for nine ninety nine the price here is way too high
"Wow, I sometimes am so disappointed, not in the product, but the way the product works with my body.  These shoes caused me a pinched nerve in my lower spine.  Such terrible pain radiated into my hip...I was so upset, more with the fact I couldn't wear the shoes then with the pain!!Amazon happily refunded my money.  Sent UPS right to my home to pick up and return.  The return was free.God bless amazon.com!!","Sorry, in bed for 3 days",1.0,negative,wow i sometimes am so disappointed not in the product but the way the product works with my body these shoes caused me a pinched nerve in my lower spine such terrible pain radiated into my hipi was so upset more with the fact i couldnt wear the shoes then with the painamazon happily refunded my money sent ups right to my home to pick up and return the return was freegod bless amazoncom
Wow! This bra is SO comfortable! I love how I can adjust the straps from the front and don't have to swing it around to adjust from the rear. Its much more comfortable than the $40 bras I have from Victoria's secret. I'd definitely buy more!,So comfortable,5.0,positive,wow this bra is so comfortable i love how i can adjust the straps from the front and dont have to swing it around to adjust from the rear its much more comfortable than the bras i have from victorias secret id definitely buy more
Very comfortable just like every white pants it is not as thick as you would hope it to be.... I did get a lot of complement for the pockets and the design.... I'm sure that in a different color it will be better,Love these,5.0,positive,very comfortable just like every white pants it is not as thick as you would hope it to be i did get a lot of complement for the pockets and the design im sure that in a different color it will be better
Received as an x-mas present (gave a giant hint) and I get many complements on them. I added a Dr. Scholls liner to add some cushion and get extended use out of them. I was buying the slipper Uggs every year because the lining would wear out so quickly.  Just wasn't worth the money into a new pair of Uggs--which honestly are not that attractive--when you can zip these on  a comfortable run-around shoe.,Love my new boots!,5.0,positive,received as an xmas present gave a giant hint and i get many complements on them i added a dr scholls liner to add some cushion and get extended use out of them i was buying the slipper uggs every year because the lining would wear out so quickly just wasnt worth the money into a new pair of uggswhich honestly are not that attractivewhen you can zip these on a comfortable runaround shoe
My son loves these. I always get a half size larger in these shoes so they have lots of extra room and my son just loves these.Mom likes them as well very well made and are not the typical croc they look really nice on and can even be worn with dress clothes.,Awesome shoe,5.0,positive,my son loves these i always get a half size larger in these shoes so they have lots of extra room and my son just loves thesemom likes them as well very well made and are not the typical croc they look really nice on and can even be worn with dress clothes
"Theses are cute, But they are small! I know it says VERY TINY.. But they mean VERRRRY tiny! They go though the holes in my ears (ouch)!",So tiny!,4.0,positive,theses are cute but they are small i know it says very tiny but they mean verrrry tiny they go though the holes in my ears ouch
"I'm actually used to larger watches, but this one looks very nice even though it's a little smaller than I thought it would be.  Had to remove 2 pieces from the band and now it fits perfectly.  I am having a little trouble getting the date set - I can't seem to find the right spot to have the date change at midnight instead of noon - I've tried resetting it a couple of times (the date setting is a little touchy to find but it's there, just pull the knob out 1/2 way instead of all the way), and I've set the watch back 1/2 a day manually as well (though adjustment of the hands not the date) but neither as worked.  Hopefully I'll get that part working soon enough.I really like that it's an Eco-Drive, and that it's black. I wear my watch sun up to bed time and after only a couple of weeks, though, and I can see a couple spots on the band that are wearing through the black color already.  If that continues, I'll have to lower my review.  I do type a lot at work, but that piece is normally actually resting on a cloth-covered gel wrist pad.  I may be forced to not wear this around the house, just to try to keep the finish from wearing off.  I'll update this review once I've had it a bit longer to let you know about the color.Update 9/10/13:  The watch itself is great, holding up well - but as I feared the parts on the underside of the watch that will touch a table/desk/keyboard rest when my hand is palm down is fading more and more as time goes on.  It's not TERRIBLY noticeable unless you're looking straight at it, but not only are the edges a little worn down to the silver underneath but there is also a chip in the middle of the band as well.  Great watch, just wish their coating was more durable.-D","Great looking watch, worried about the finish though.",4.0,positive,im actually used to larger watches but this one looks very nice even though its a little smaller than i thought it would be had to remove pieces from the band and now it fits perfectly i am having a little trouble getting the date set i cant seem to find the right spot to have the date change at midnight instead of noon ive tried resetting it a couple of times the date setting is a little touchy to find but its there just pull the knob out way instead of all the way and ive set the watch back a day manually as well though adjustment of the hands not the date but neither as worked hopefully ill get that part working soon enoughi really like that its an ecodrive and that its black i wear my watch sun up to bed time and after only a couple of weeks though and i can see a couple spots on the band that are wearing through the black color already if that continues ill have to lower my review i do type a lot at work but that piece is normally actually resting on a clothcovered gel wrist pad i may be forced to not wear this around the house just to try to keep the finish from wearing off ill update this review once ive had it a bit longer to let you know about the colorupdate the watch itself is great holding up well but as i feared the parts on the underside of the watch that will touch a tabledeskkeyboard rest when my hand is palm down is fading more and more as time goes on its not terribly noticeable unless youre looking straight at it but not only are the edges a little worn down to the silver underneath but there is also a chip in the middle of the band as well great watch just wish their coating was more durabled
It's very warm and comfortable. I got them fleece lined. It smelled so bad (like burned plastic) when I got it but the scent eventually wore off after about three washes. It can give lots of pillars but you can just get them off with a razor. They're my favorite winter pants!,Comfy and warm,4.0,positive,its very warm and comfortable i got them fleece lined it smelled so bad like burned plastic when i got it but the scent eventually wore off after about three washes it can give lots of pillars but you can just get them off with a razor theyre my favorite winter pants
these shoes are so pretty color is as shown and shoe fits true to size I AM VERY VERY HAPPY with this purcase,very pleased,5.0,positive,these shoes are so pretty color is as shown and shoe fits true to size i am very very happy with this purcase
"Sooooooooooo comfortable. Put them on this morning and am still wearing them as I write this review. I walk a lot. To the store, post office, behind the push mower,,,,, lol. So I wanted a boot that would be good for my feet. Found them !!!! Bought me a size 11.5 W and their a perfect fit. Very happy with my order. :))))","WOW,,,,,, What a boot, LOVE IT !!!! :)",5.0,positive,sooooooooooo comfortable put them on this morning and am still wearing them as i write this review i walk a lot to the store post office behind the push mower lol so i wanted a boot that would be good for my feet found them bought me a size w and their a perfect fit very happy with my order
"I bought this ring to trick men into thinking I am not available.  I work in a bar where men can get rowdy and aggressive.  It looks real, is a perfect size and fits great.  I recommend it.",Love it love it!!,5.0,positive,i bought this ring to trick men into thinking i am not available i work in a bar where men can get rowdy and aggressive it looks real is a perfect size and fits great i recommend it
"I ordered this wallet to reduce the bulge created by having lots of credit cards in the standard wallet, and to be able to find each of my cards when I open my wallet. After searching the internet, I concluded the price asked for this one was very reasonable by comparison.The quality of the leather and the construction is fine.  The leather is smooth and soft, and the stitching is even.  There's a plastic window for one card (like an ID), and a plastic insert if you have even more cards, although I think if you filled it, you'd have a pretty bulky item.Yes, you can get better quality if you don't mind paying about four times as much, otherwise, I don't think you will. It should last a couple of years.  I find the complaints about the tightness of the card slots a exaggerated.  I had no trouble fitting a dozen different plastic cards into the slots; with paper cards that easily crumple, it's a little more difficult. Yes, it can be a little difficult to slide out cards sometimes, but not remarkably so.  I'm happy with the purchase.",Excellent value,4.0,positive,i ordered this wallet to reduce the bulge created by having lots of credit cards in the standard wallet and to be able to find each of my cards when i open my wallet after searching the internet i concluded the price asked for this one was very reasonable by comparisonthe quality of the leather and the construction is fine the leather is smooth and soft and the stitching is even theres a plastic window for one card like an id and a plastic insert if you have even more cards although i think if you filled it youd have a pretty bulky itemyes you can get better quality if you dont mind paying about four times as much otherwise i dont think you will it should last a couple of years i find the complaints about the tightness of the card slots a exaggerated i had no trouble fitting a dozen different plastic cards into the slots with paper cards that easily crumple its a little more difficult yes it can be a little difficult to slide out cards sometimes but not remarkably so im happy with the purchase
I love Bella Fleece Pants!!! Quality and material is very nice!!! I wear size 10 so I bought large. They fit great!!! I would recommend Bella Fleece Pants!!!,Awesome Pants!!!,5.0,positive,i love bella fleece pants quality and material is very nice i wear size so i bought large they fit great i would recommend bella fleece pants
"We bought 2 packs of these for a recent trip to Italy, and were able to fit 2 weeks worth of clothing in 2 carry on bags. The trick is to lay them on the floor, and then lay on top of them. Rolling them works well, but laying on top really flattens them out. I'll echo the other reviewers' comments about the initial &#34;pop&#34; of the bag's vents. I thought I was going to pop the bag when I first started squeezing, but keep at it! The vents take a little coaxing to open up.",Great value,5.0,positive,we bought packs of these for a recent trip to italy and were able to fit weeks worth of clothing in carry on bags the trick is to lay them on the floor and then lay on top of them rolling them works well but laying on top really flattens them out ill echo the other reviewers comments about the initial pop of the bags vents i thought i was going to pop the bag when i first started squeezing but keep at it the vents take a little coaxing to open up
"I like this coin purse. The first one I received had a defect. The seller sent me a replacement, which was fine, and let me keep the defective one. Does seem like genuine leather. Can do without the keyring taking up space -- guess I can cut it off.",Good coin purse,4.0,positive,i like this coin purse the first one i received had a defect the seller sent me a replacement which was fine and let me keep the defective one does seem like genuine leather can do without the keyring taking up space guess i can cut it off
"The belt left a gaping back in jeans. I had to have it pretty tight and uncomfortable to not have it show my underwear, and even then there was some gap. The adjustment is rather thick and doesn't go through belt loops very well. It's made of a harder plastic type material which is hard to adjust. I wouldn't recommend these. I sent them back. I recommend a belt that is stretch as the stretch belts do a better job with eliminating gaps. This belt is *not* a stretch belt.",Does not eliminate gaps. Large adjustment. Very uncomfortable.,1.0,negative,the belt left a gaping back in jeans i had to have it pretty tight and uncomfortable to not have it show my underwear and even then there was some gap the adjustment is rather thick and doesnt go through belt loops very well its made of a harder plastic type material which is hard to adjust i wouldnt recommend these i sent them back i recommend a belt that is stretch as the stretch belts do a better job with eliminating gaps this belt is not a stretch belt
"These are a nice option for casual wear. They fit well and have a classic look. And, they are suede too!",Can't beat classic Puma Suede sneakers,4.0,positive,these are a nice option for casual wear they fit well and have a classic look and they are suede too
"This tote bag is very spacious and well-made considering its low cost.  I love the color variety available, but decided on the brown to match my winter coat & clothing, and its a really pretty warm chestnut shade.  Though in the picture the bag looks more long than wide, it is actually a full 17&#34; wide to the 16 1/2&#34; length, with a 4&#34; bottom panel so it will easily fill out with carry parcels.  No inner pockets, but a full zippered top for security.  The straps are strongly sewn into a horizontal strap webbing near the top of the bag, and carrying my day's essentials of @ 20 lbs. incl. groceries feels very secure. A great value.",Roomy tote bag at great price,5.0,positive,this tote bag is very spacious and wellmade considering its low cost i love the color variety available but decided on the brown to match my winter coat clothing and its a really pretty warm chestnut shade though in the picture the bag looks more long than wide it is actually a full wide to the length with a bottom panel so it will easily fill out with carry parcels no inner pockets but a full zippered top for security the straps are strongly sewn into a horizontal strap webbing near the top of the bag and carrying my days essentials of lbs incl groceries feels very secure a great value
"I wear the size 38 for Dansko clogs. However, for Sanita Professioal Oil Clog, I don't seem to find the right size. I tried the size 38 - it was too tight around my foot ( instep ), the size 38 C/D (wide width) - way too big, the size 37 C/D - great around my foot, but somewhat small. I had to return them.",Hard to find the right size,3.0,neutral,i wear the size for dansko clogs however for sanita professioal oil clog i dont seem to find the right size i tried the size it was too tight around my foot instep the size cd wide width way too big the size cd great around my foot but somewhat small i had to return them
